id,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
17,72,24.62,8.25,66.83,99.0,18.0,12.5,81.94,56.94,19.44,8.33,8.33,0.0,0.0,0.0,0.0,11.11,8.33,5.56,11.11,6.94,4.17,2.78,18.06,4.17,0.0,0.0,0.0,1.39,6.94,6.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.89,2.78,1.39,0.0,4.17,2.78,2.78,4.17,1.39,1.39,1.39,0.0,0.0,0.0,0.0,0.0,5.56,0.0,1.39,0.0,4.17,0.0,1.39,16.67,1.39,9.72,0.0,5.56,4.17,1.39,0.0,0.0,0.0,0.0,0.0,1.39,0.0,0.0,1.39,0.0,0.0,12.5,5.56,4.17,0.0,0.0,0.0,1.39,0.0,0.0,1.39,0.0,0.0
18,53,61.17,42.51,9.72,89.18,10.6,9.43,73.58,47.17,18.87,9.43,7.55,0.0,0.0,1.89,0.0,9.43,3.77,13.21,7.55,3.77,1.89,1.89,16.98,7.55,1.89,0.0,0.0,3.77,11.32,7.55,3.77,0.0,0.0,1.89,7.55,0.0,0.0,0.0,1.89,7.55,1.89,0.0,1.89,1.89,1.89,0.0,3.77,3.77,0.0,0.0,1.89,0.0,0.0,0.0,0.0,7.55,3.77,3.77,0.0,1.89,0.0,3.77,11.32,1.89,7.55,0.0,5.66,1.89,5.66,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.51,41.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,280,64.59,19.58,66.59,59.59,20.0,16.79,81.07,51.07,12.86,6.79,4.29,0.0,1.07,0.0,1.43,6.07,5.36,13.93,8.21,5.36,6.07,2.5,17.14,6.07,5.0,0.36,3.21,3.21,3.93,2.86,1.07,0.0,0.0,0.71,3.93,0.0,0.36,0.0,0.0,16.79,2.14,3.93,1.07,5.36,0.36,6.79,1.43,0.71,0.36,0.36,0.71,0.36,0.36,0.0,0.0,6.07,0.36,2.5,3.21,1.43,0.71,4.29,10.71,0.36,11.43,1.79,6.43,3.21,1.79,1.43,0.0,3.21,0.0,0.0,0.71,0.0,0.0,0.0,0.71,0.0,12.14,5.0,1.07,0.0,0.0,0.0,0.36,2.86,0.0,2.14,0.0,0.71
20,25,98.05,50.0,1.0,99.0,12.5,8.0,80.0,48.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,20.0,4.0,8.0,8.0,0.0,8.0,8.0,8.0,0.0,0.0,4.0,12.0,12.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,0.0,8.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
21,118,76.11,24.88,51.24,92.9,14.75,12.71,85.59,53.39,17.8,5.93,4.24,0.0,0.85,0.0,0.85,11.86,6.78,16.1,7.63,3.39,4.24,0.85,18.64,6.78,3.39,2.54,3.39,0.85,9.32,6.78,2.54,0.0,0.85,0.0,4.24,0.0,0.0,0.0,0.0,12.71,1.69,1.69,0.0,3.39,0.85,5.93,8.47,5.93,0.85,1.69,0.85,0.0,0.0,0.85,0.0,7.63,0.0,4.24,1.69,1.69,0.85,1.69,14.41,0.85,9.32,0.85,5.93,2.54,3.39,0.85,0.0,1.69,0.0,0.0,4.24,0.85,0.0,1.69,1.69,0.0,12.71,7.63,1.69,0.0,0.0,0.0,0.0,0.0,0.0,3.39,0.0,0.0
22,21,98.45,50.0,1.0,99.0,21.0,9.52,61.9,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,4.76,4.76,4.76,0.0,0.0,4.76,14.29,0.0,0.0,4.76,4.76,9.52,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,4.76,0.0,9.52,9.52,0.0,0.0,4.76,4.76,0.0,0.0,0.0,9.52,0.0,0.0,0.0,9.52,0.0,0.0,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52,4.76,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0
23,34,51.03,18.88,47.25,99.0,11.33,2.94,85.29,50.0,14.71,5.88,5.88,0.0,0.0,0.0,0.0,8.82,5.88,8.82,2.94,8.82,5.88,2.94,17.65,8.82,0.0,0.0,2.94,0.0,8.82,8.82,0.0,0.0,0.0,0.0,2.94,0.0,0.0,0.0,0.0,11.76,2.94,8.82,0.0,0.0,0.0,2.94,5.88,5.88,0.0,0.0,2.94,0.0,0.0,0.0,2.94,5.88,0.0,0.0,0.0,5.88,0.0,5.88,11.76,0.0,8.82,0.0,8.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,0.0,2.94,0.0,8.82,8.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,64,93.26,10.58,74.76,25.77,16.0,18.75,71.88,40.62,9.38,4.69,4.69,0.0,0.0,0.0,0.0,4.69,6.25,15.62,4.69,0.0,4.69,3.12,12.5,4.69,0.0,0.0,3.12,3.12,3.12,1.56,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,3.12,1.56,4.69,0.0,4.69,3.12,1.56,1.56,0.0,0.0,0.0,0.0,0.0,0.0,9.38,0.0,1.56,3.12,3.12,1.56,3.12,7.81,0.0,17.19,3.12,9.38,4.69,3.12,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.31,6.25,4.69,0.0,0.0,0.0,1.56,1.56,0.0,3.12,1.56,1.56
25,85,10.1,54.68,22.52,95.55,21.25,15.29,81.18,56.47,20.0,14.12,7.06,0.0,1.18,0.0,5.88,5.88,0.0,11.76,12.94,7.06,10.59,0.0,17.65,9.41,5.88,1.18,4.71,2.35,4.71,4.71,0.0,0.0,0.0,0.0,7.06,0.0,0.0,0.0,0.0,9.41,2.35,1.18,3.53,1.18,2.35,0.0,2.35,1.18,1.18,0.0,2.35,2.35,0.0,0.0,0.0,4.71,0.0,1.18,2.35,1.18,0.0,4.71,12.94,2.35,10.59,1.18,4.71,4.71,1.18,1.18,0.0,2.35,0.0,0.0,1.18,0.0,0.0,0.0,1.18,0.0,16.47,3.53,8.24,0.0,0.0,0.0,1.18,1.18,0.0,0.0,0.0,2.35
26,21,93.26,50.0,68.01,25.77,10.5,4.76,85.71,52.38,9.52,4.76,0.0,0.0,4.76,0.0,0.0,4.76,9.52,19.05,4.76,4.76,4.76,4.76,19.05,9.52,0.0,4.76,0.0,0.0,9.52,4.76,4.76,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,9.52,0.0,0.0,4.76,0.0,0.0,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,4.76,4.76,4.76,0.0,23.81,0.0,23.81,9.52,9.52,4.76,0.0,0.0,0.0,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52,4.76,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0
27,27,89.09,22.95,33.94,25.77,9.0,25.93,74.07,44.44,3.7,0.0,0.0,0.0,0.0,0.0,0.0,3.7,11.11,14.81,3.7,7.41,7.41,7.41,11.11,0.0,3.7,0.0,0.0,0.0,7.41,3.7,3.7,3.7,0.0,0.0,3.7,0.0,0.0,0.0,0.0,7.41,3.7,0.0,0.0,0.0,0.0,3.7,7.41,3.7,0.0,3.7,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,3.7,0.0,14.81,0.0,11.11,0.0,7.41,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.52,11.11,7.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,32,79.58,73.4,1.0,99.0,16.0,6.25,84.38,53.12,6.25,3.12,0.0,0.0,3.12,0.0,0.0,3.12,12.5,9.38,12.5,6.25,6.25,0.0,25.0,3.12,0.0,0.0,3.12,0.0,9.38,9.38,0.0,0.0,0.0,0.0,3.12,0.0,0.0,0.0,0.0,18.75,3.12,6.25,0.0,3.12,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.38,0.0,6.25,0.0,3.12,0.0,3.12,18.75,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,3.12,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,42,35.4,23.75,37.24,25.77,42.0,21.43,71.43,50.0,9.52,7.14,4.76,0.0,2.38,0.0,0.0,2.38,7.14,4.76,9.52,7.14,9.52,2.38,16.67,7.14,2.38,0.0,0.0,0.0,4.76,2.38,2.38,0.0,0.0,2.38,2.38,0.0,0.0,0.0,0.0,14.29,2.38,2.38,0.0,0.0,4.76,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,4.76,2.38,2.38,0.0,7.14,7.14,2.38,7.14,0.0,7.14,0.0,2.38,0.0,0.0,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,28,68.29,85.81,30.01,87.2,9.33,3.57,89.29,60.71,25.0,21.43,7.14,3.57,0.0,0.0,10.71,3.57,10.71,14.29,3.57,7.14,3.57,0.0,21.43,3.57,0.0,0.0,0.0,0.0,3.57,3.57,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,3.57,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.86,7.14,0.0,7.14,3.57,0.0,3.57,14.29,3.57,10.71,7.14,0.0,3.57,0.0,0.0,0.0,3.57,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.71,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,23,16.15,9.62,9.25,99.0,7.67,30.43,73.91,34.78,13.04,8.7,8.7,0.0,0.0,0.0,0.0,4.35,0.0,4.35,4.35,8.7,8.7,4.35,4.35,4.35,0.0,0.0,0.0,0.0,17.39,17.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,4.35,0.0,4.35,0.0,0.0,4.35,0.0,4.35,0.0,4.35,0.0,8.7,0.0,0.0,8.7,0.0,0.0,4.35,0.0,0.0,0.0,4.35,0.0,34.78,13.04,13.04,0.0,0.0,0.0,0.0,4.35,0.0,4.35,0.0,0.0
32,22,99.0,32.48,2.4,94.75,7.33,9.09,77.27,40.91,4.55,0.0,0.0,0.0,0.0,0.0,0.0,4.55,13.64,13.64,0.0,4.55,0.0,4.55,4.55,0.0,0.0,0.0,0.0,4.55,13.64,9.09,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.64,0.0,4.55,4.55,0.0,4.55,0.0,0.0,0.0,0.0,0.0,4.55,4.55,0.0,0.0,0.0,13.64,0.0,0.0,0.0,9.09,4.55,0.0,4.55,0.0,13.64,0.0,9.09,4.55,0.0,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,13.64,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,34,59.32,3.89,66.34,98.87,17.0,8.82,73.53,52.94,11.76,5.88,5.88,0.0,0.0,0.0,0.0,5.88,11.76,11.76,17.65,2.94,5.88,2.94,23.53,0.0,0.0,0.0,8.82,0.0,5.88,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.65,0.0,5.88,0.0,2.94,0.0,8.82,2.94,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.82,0.0,0.0,2.94,5.88,0.0,2.94,17.65,0.0,8.82,0.0,5.88,2.94,2.94,0.0,0.0,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.41,5.88,8.82,0.0,0.0,0.0,0.0,0.0,0.0,14.71,0.0,0.0
34,66,85.63,27.23,23.51,54.29,16.5,7.58,80.3,56.06,16.67,6.06,6.06,0.0,0.0,0.0,0.0,10.61,12.12,13.64,7.58,1.52,6.06,0.0,13.64,6.06,3.03,3.03,3.03,0.0,1.52,1.52,0.0,0.0,0.0,0.0,3.03,0.0,0.0,0.0,0.0,9.09,0.0,1.52,1.52,1.52,3.03,3.03,9.09,0.0,4.55,4.55,1.52,1.52,0.0,0.0,0.0,3.03,0.0,0.0,1.52,1.52,0.0,7.58,7.58,0.0,9.09,1.52,4.55,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06,6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,85,52.71,24.0,28.81,86.75,12.14,14.12,82.35,48.24,12.94,8.24,7.06,0.0,1.18,0.0,0.0,4.71,4.71,9.41,5.88,9.41,5.88,0.0,15.29,3.53,2.35,1.18,4.71,2.35,3.53,3.53,0.0,0.0,0.0,0.0,2.35,0.0,0.0,0.0,0.0,14.12,1.18,4.71,2.35,2.35,2.35,3.53,3.53,1.18,1.18,1.18,4.71,0.0,3.53,0.0,1.18,3.53,0.0,1.18,1.18,2.35,0.0,3.53,11.76,1.18,8.24,1.18,5.88,1.18,3.53,1.18,2.35,3.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.41,7.06,0.0,0.0,0.0,1.18,0.0,0.0,0.0,1.18,0.0,0.0
36,35,52.71,19.58,26.0,1.91,17.5,2.86,82.86,62.86,14.29,2.86,2.86,0.0,0.0,0.0,0.0,11.43,8.57,17.14,14.29,2.86,11.43,2.86,22.86,8.57,11.43,0.0,0.0,2.86,2.86,0.0,2.86,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,11.43,2.86,2.86,0.0,2.86,2.86,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,0.0,0.0,2.86,0.0,2.86,11.43,5.71,8.57,0.0,0.0,8.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71,5.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,57,18.82,63.73,50.35,58.97,28.5,8.77,92.98,54.39,19.3,17.54,7.02,1.75,3.51,0.0,5.26,1.75,3.51,10.53,10.53,5.26,10.53,1.75,21.05,1.75,1.75,3.51,3.51,3.51,5.26,3.51,1.75,0.0,0.0,1.75,12.28,0.0,0.0,0.0,0.0,12.28,0.0,1.75,3.51,1.75,1.75,5.26,7.02,1.75,5.26,0.0,0.0,0.0,0.0,0.0,0.0,12.28,1.75,3.51,5.26,3.51,1.75,3.51,17.54,0.0,12.28,3.51,3.51,7.02,5.26,5.26,1.75,3.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.79,5.26,3.51,0.0,0.0,0.0,1.75,0.0,0.0,5.26,0.0,0.0
